Return,Std,SPY,ASHR.L,VPL,INDA,TLT,EMXC,IEMG,XMAF.L,VDNR.L,KSA,EDEN,VGK,SEMI.AS,AIEQ,BCHN.L,GLD,SLV,USO,DBO,CORN,PSCC,VDE,IDUP.L,VNQ,EWU,EWS,EWW,EWJ,EWH,EWG,EWQ,EWC,EWA
0.36070475980205347,0.06386300933440264,0.703,0.954,0.195,6.251,0.676,2.259,0.83,0.22,0.483,6.387,1.481,3.228,0.752,3.11,0.406,1.929,1.036,3.893,1.4,10.795,0.795,0.908,7.26,6.113,0.363,1.645,0.787,0.399,4.063,4.864,0.316,16.859,8.637
0.36135139686020357,0.06862653730707147,6.25,3.423,1.583,2.611,0.612,3.368,5.783,3.543,1.022,0.231,0.492,0.895,4.608,7.141,2.131,1.019,16.806,0.122,0.287,0.571,1.103,0.122,2.014,8.701,3.645,3.941,0.437,4.271,1.961,7.816,1.476,1.86,0.153
0.3618567386253433,0.07042994235383668,4.389,0.037,2.401,1.708,0.036,0.537,8.074,0.866,0.877,1.365,4.318,0.551,0.047,0.025,0.597,2.123,12.332,0.75,0.219,2.276,4.479,4.956,0.97,3.062,1.387,14.772,0.843,1.158,3.436,6.667,3.846,3.502,7.394
0.3957670246349596,0.07128168224802495,2.256,1.599,3.001,2.377,1.285,0.57,1.516,2.634,4.01,1.417,0.14,14.556,7.599,2.616,3.665,6.699,9.797,0.022,3.024,0.143,0.479,0.445,2.962,0.042,4.344,0.771,2.719,2.189,2.773,4.293,0.941,7.227,1.889
0.39982764600339926,0.07419791648304247,5.137,1.365,2.28,0.974,2.03,0.525,0.766,0.47,9.927,2.547,8.569,2.874,5.225,1.387,1.267,2.855,0.186,7.258,0.354,8.637,1.513,0.059,1.003,1.577,3.4,3.895,7.454,2.856,0.16,6.375,3.999,1.122,1.951
0.4136523630858151,0.0767526599320715,1.194,0.217,1.929,0.968,4.299,2.055,3.387,1.162,4.528,1.555,5.634,2.24,5.357,0.82,16.177,1.207,1.07,6.701,0.088,1.425,0.555,1.206,2.69,1.12,2.93,0.24,1.435,9.949,0.238,9.673,5.334,0.744,1.873
0.4443747537246443,0.08097163690875939,2.246,1.277,14.208,0.653,1.182,2.434,4.078,4.645,3.46,0.088,0.078,2.954,0.669,24.018,4.264,0.961,5.825,0.775,3.737,0.54,0.855,1.07,0.211,2.727,5.541,1.81,2.305,0.375,0.3,2.065,0.778,1.828,2.042
0.4923353479027484,0.08353036225324043,0.268,3.05,11.337,11.572,0.655,2.951,0.471,4.801,0.838,2.528,4.995,3.936,2.092,1.116,15.518,0.487,0.757,0.125,1.802,0.172,0.133,2.013,0.422,2.273,7.903,1.859,4.622,0.285,0.946,9.273,0.398,0.213,0.187
0.5108576953820391,0.09214579366754291,1.017,0.413,12.56,3.67,7.266,4.516,1.232,4.581,0.003,2.045,1.624,0.41,2.162,0.583,16.658,1.858,2.489,1.661,3.304,1.063,2.229,0.054,5.337,3.324,1.053,3.819,2.329,2.54,1.226,3.842,0.925,0.299,3.906
0.5160362112854733,0.10046661111212042,0.137,13.751,0.35,2.153,2.16,1.475,1.879,2.175,2.012,0.963,3.495,3.144,1.834,0.233,6.926,2.701,3.882,3.129,1.531,7.611,1.254,3.68,6.421,1.386,0.048,0.526,3.414,1.166,8.373,5.566,4.167,0.677,1.781
0.5184225520757509,0.10445208604372427,2.134,3.024,0.779,4.515,1.326,9.37,0.621,0.94,4.976,1.034,1.996,19.228,3.649,3.544,3.336,4.138,4.094,0.906,0.742,0.107,0.286,3.457,3.758,0.624,4.915,1.619,5.265,4.058,0.277,1.952,0.956,1.381,0.992
0.5380313678743743,0.10511092015758149,0.979,1.119,0.285,1.235,3.915,0.395,1.58,1.517,2.274,13.887,1.64,2.711,3.654,1.458,1.287,0.443,10.829,0.968,3.323,2.018,10.955,0.768,7.209,1.448,0.173,11.692,2.558,0.114,0.463,1.567,2.11,4.473,0.951
0.583382638926099,0.10712752436404735,1.122,1.125,10.318,3.611,0.113,2.967,1.742,0.067,0.458,1.927,2.748,10.684,1.199,2.568,1.442,3.13,3.698,4.056,9.449,3.289,6.954,10.593,2.856,0.476,0.331,0.033,2.143,3.293,2.092,1.339,0.349,3.35,0.477
0.6027600654112382,0.11450759695252617,0.564,8.035,3.512,0.148,0.909,1.485,0.157,6.122,4.42,5.867,3.678,0.65,2.038,2.239,6.194,0.267,5.883,0.99,5.253,6.348,9.722,3.614,0.323,2.519,4.647,1.271,2.197,0.242,6.025,1.067,0.815,0.932,1.87
0.6749471626784411,0.11634964980597505,4.369,0.936,0.746,0.612,1.448,4.237,6.406,3.252,0.553,3.454,1.638,0.492,2.454,0.589,3.696,0.808,3.035,0.501,14.038,4.222,1.268,1.196,1.726,0.635,6.695,1.976,0.457,5.643,4.831,1.132,10.464,6.198,0.292
0.712423254768948,0.13847428654526822,3.621,4.254,8.609,1.575,1.692,0.593,2.214,4.799,12.319,4.036,0.422,0.385,7.587,4.826,5.516,3.457,0.555,3.805,1.914,2.251,0.687,0.816,0.161,0.532,2.293,0.678,3.413,3.354,3.891,2.215,5.999,0.999,0.531
0.7506819226171757,0.14878614705457244,0.499,1.288,0.023,3.367,1.234,17.166,0.748,3.145,1.181,0.526,1.65,4.818,1.075,3.571,2.608,0.877,1.606,0.926,3.628,1.12,2.338,17.746,0.053,1.885,2.484,0.796,9.948,1.19,4.484,0.685,0.375,2.714,4.244
0.7601433754052407,0.14923949396037642,0.74,2.959,2.007,0.012,8.398,0.253,0.439,6.121,2.801,1.753,3.908,3.497,0.619,0.29,17.472,0.123,2.226,0.815,2.63,1.63,5.782,3.711,1.201,1.746,8.248,0.317,4.788,8.108,0.187,1.068,1.753,1.524,2.874
0.7603908896972775,0.16078244264766053,1.231,4.718,2.961,2.84,0.315,0.894,0.341,3.614,1.096,1.41,2.236,6.141,6.847,5.818,2.157,5.069,0.353,3.15,4.814,8.746,1.835,8.865,3.472,1.127,0.615,1.225,0.104,7.719,3.075,3.323,2.184,1.136,0.567
0.776916500383253,0.16311283524420167,1.045,4.588,1.848,3.596,0.216,0.758,4.231,6.677,0.792,1.98,1.393,1.433,4.714,1.836,4.283,3.621,2.385,2.526,4.291,2.962,4.528,1.474,0.557,0.361,9.515,3.878,14.935,1.114,1.038,1.834,4.767,0.47,0.354
0.7848679622503224,0.1745343511338702,7.161,1.932,0.1,1.409,1.203,5.19,1.495,6.585,1.616,1.132,0.037,2.754,6.125,7.171,5.797,1.511,1.755,5.668,10.067,1.108,1.601,0.202,1.955,2.798,0.956,0.274,4.736,2.623,4.298,2.102,4.035,4.238,0.368
0.862100280862705,0.17459140832720968,0.791,0.715,7.597,3.45,0.745,4.371,5.855,0.488,0.903,7.087,3.287,0.008,3.749,0.708,0.217,2.218,11.733,5.803,1.429,0.707,0.975,8.805,4.478,1.067,5.404,0.769,1.674,2.372,0.224,0.022,9.985,0.068,2.297
